wl	n
1.36	2.05E-06
1.37	3.55E-06
1.38	4.00E-06
1.39	4.78E-06
1.40	5.05E-06
1.41	5.76E-06
1.42	6.12E-06
1.43	5.24E-06
1.44	5.08E-06
1.45	4.49E-06
1.46	4.01E-06
1.47	4.00E-06
1.48	4.65E-06
1.49	3.23E-06
1.50	3.06E-06
1.51	2.82E-06
1.52	2.64E-06
1.53	2.45E-06
1.54	2.25E-06
1.55	1.89E-06
1.56	1.96E-06
1.57	2.13E-06
1.58	2.41E-06
1.59	2.84E-06
1.60	3.32E-06
1.61	4.46E-06
1.62	8.11E-06
1.63	1.92E-05
1.64	2.68E-05
1.65	2.42E-05
1.66	3.87E-05
1.67	1.05E-04
1.68	1.60E-04
1.69	1.37E-04
1.70	8.46E-05
1.71	5.42E-05
1.72	4.80E-05
1.73	4.40E-05
1.74	2.73E-05
1.75	3.34E-05
1.76	4.17E-05
1.77	3.62E-05
1.78	2.72E-05
1.79	3.06E-05
1.80	2.91E-05
1.81	2.97E-05
1.82	2.72E-05
1.83	2.44E-05
1.84	2.48E-05
1.85	2.56E-05
1.86	2.68E-05
1.87	2.46E-05
1.88	2.18E-05
1.89	2.14E-05
1.90	2.11E-05
1.91	2.14E-05
1.92	1.97E-05
1.93	1.89E-05
1.94	1.85E-05
1.95	1.92E-05
1.96	1.84E-05
1.97	1.79E-05
1.98	1.79E-05
1.99	1.75E-05
2.00	1.76E-05
2.0097	2.14E-05
2.0190	2.45E-05
2.0285	3.10E-05
2.0381	3.69E-05
2.0478	3.77E-05
2.0575	3.91E-05
2.0673	4.05E-05
2.0773	4.13E-05
2.0873	4.29E-05
2.0975	4.60E-05
2.1077	5.05E-05
2.1180	5.84E-05
2.1285	7.44E-05
2.1390	1.00E-04
2.1496	3.39E-03
2.1568	3.89E-03
2.1676	3.88E-03
2.1785	3.59E-03
2.1896	4.30E-03
2.1970	4.75E-03
2.2082	9.79E-05
2.2196	9.05E-05
2.2272	8.51E-05
2.2387	7.97E-05
2.2465	8.03E-05
2.2582	8.63E-05
2.2661	9.32E-05
2.2781	3.39E-03
2.2861	3.73E-03
2.2983	4.10E-03
2.3065	3.87E-03
2.3188	3.62E-03
2.3272	3.53E-03
2.3398	3.76E-03
2.3482	3.95E-03
2.3568	4.27E-03
2.3697	4.37E-03
2.3784	3.70E-03
2.3872	3.62E-03
2.3960	3.73E-03
2.4093	3.60E-03
2.4183	3.66E-03
2.4274	3.84E-03
2.4365	3.74E-03
2.4457	3.13E-03
2.4596	2.89E-03
2.4690	3.70E-03
2.4784	4.51E-03
2.4880	4.33E-03
2.4975	3.47E-03
2.5072	3.21E-03
2.5169	2.96E-03
2.5268	2.69E-03
2.5366	3.15E-03
2.5466	3.64E-03
2.5567	4.06E-03
2.5668	4.18E-03
2.5770	3.91E-03
2.5873	3.48E-03
2.5976	2.93E-03
2.6081	3.05E-03
2.6186	3.37E-03
2.6293	3.95E-03
2.6400	4.26E-03
2.6454	3.94E-03
2.6562	3.08E-03
2.6671	3.39E-03
2.6782	3.67E-03
2.6893	3.07E-03
2.6949	2.73E-03
2.7061	3.03E-03
2.7175	4.19E-03
2.7289	4.07E-03
2.7347	3.54E-03
2.7462	2.82E-03
2.7579	2.55E-03
2.7697	2.34E-03
2.7756	2.56E-03
2.7876	3.09E-03
2.7996	3.24E-03
2.8057	3.27E-03
2.8179	3.56E-03
2.8240	3.62E-03
2.8364	3.54E-03
2.8489	3.61E-03
2.8551	3.48E-03
2.8678	3.25E-03
2.8741	3.32E-03
2.8869	3.39E-03
2.8998	3.68E-03
2.9063	3.76E-03
2.9194	1.36E-04
2.9260	1.29E-04
2.9393	1.23E-04
2.9460	1.21E-04
2.9594	1.15E-04
2.9662	1.12E-04
2.9798	1.08E-04
2.9867	1.10E-04
2.9936	1.13E-04
3.0075	1.18E-04
3.0145	1.20E-04
3.0286	1.25E-04
3.0357	1.29E-04
3.0499	2.22E-03
3.0571	1.86E-03
3.0644	1.86E-03
3.0789	2.49E-03
3.0863	2.59E-03
3.0936	2.56E-03
3.1085	2.57E-03
3.1159	2.69E-03
3.1234	2.97E-03
3.1386	2.89E-03
3.1462	2.56E-03
3.1538	2.36E-03
3.1693	2.76E-03
3.1770	2.97E-03
3.1848	3.11E-03
3.1927	3.14E-03
3.2085	3.33E-03
3.2164	4.25E-03
3.2244	5.86E-03
3.2325	8.03E-03
3.2487	1.19E-02
3.2569	1.33E-02
3.2651	1.43E-02
3.2733	1.40E-02
3.2899	1.65E-02
3.2983	2.11E-02
3.3067	2.22E-02
3.3152	1.75E-02
3.3237	1.14E-02
3.3322	7.90E-03
3.3494	5.82E-03
3.3581	6.23E-03
3.3668	7.25E-03
3.3756	8.48E-03
3.3844	1.08E-02
3.3933	1.59E-02
3.4022	2.37E-02
3.4111	3.17E-02
3.4292	3.33E-02
3.4383	2.69E-02
3.4474	1.99E-02
3.4566	1.44E-02
3.4658	1.12E-02
3.4751	9.74E-03
3.4845	9.93E-03
3.4939	1.14E-02
3.5033	1.26E-02
3.5128	1.15E-02
3.5224	8.27E-03
3.5320	5.45E-03
3.5416	4.04E-03
3.5513	3.48E-03
3.5611	3.22E-03
3.5709	3.21E-03
3.5807	3.38E-03
3.5907	3.27E-03
3.6006	2.97E-03
3.6107	2.84E-03
3.6207	2.60E-03
3.6309	2.29E-03
3.6411	2.30E-03
3.6513	2.64E-03
3.6617	2.94E-03
3.6720	3.06E-03
3.6825	3.03E-03
3.6930	2.92E-03
3.7035	2.90E-03
3.7141	2.95E-03
3.7248	3.13E-03
3.7355	3.38E-03
3.7463	3.51E-03
3.7572	3.28E-03
3.7681	3.05E-03
3.7791	3.11E-03
3.7901	3.14E-03
3.8013	3.03E-03
3.8124	2.90E-03
3.8237	3.02E-03
